City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Matay,EG,2022-07-13 21:37:49,28.419,30.7792,76.64,45,44,16.42
254,Attock,PK,2022-07-13 21:37:49,33.7695,72.3611,86.47,65,72,5.26
255,Nanortalik,GL,2022-07-13 21:37:50,60.1432,-45.2371,44.67,81,100,2.33
256,Chicama,PE,2022-07-13 21:37:50,-7.8447,-79.1469,61.34,71,40,8.75
257,Jackson,US,2022-07-13 21:33:02,42.4165,-122.8345,93.15,33,0,8.05
258,Rabaul,PG,2022-07-13 21:37:51,-4.1967,152.1721,81.3,75,100,9.28
259,Chernyshevskiy,RU,2022-07-13 21:37:51,63.0128,112.4714,51.91,65,99,4.41
260,Wahiawa,US,2022-07-13 21:37:52,21.5028,-158.0236,84.52,72,17,13.2
261,Saint-Leu,RE,2022-07-13 21:37:53,-21.15,55.2833,67.06,64,55,3.11
262,Whitehorse,CA,2022-07-13 21:37:53,60.7161,-135.0538,50.77,93,100,2.3
263,Tashtagol,RU,2022-07-13 21:37:54,52.7657,87.8894,50.67,75,100,1.43
264,Husavik,IS,2022-07-13 21:28:50,66.0449,-17.3389,49.95,66,30,4.41
265,San Andres,CO,2022-07-13 21:37:55,12.5847,-81.7006,86.02,74,75,11.5
266,Verkhnyaya Inta,RU,2022-07-13 21:37:55,65.9811,60.3094,65.19,86,66,5.19
267,Vao,NC,2022-07-13 21:37:55,-22.6667,167.4833,73.2,75,91,25.55
268,Axim,GH,2022-07-13 21:37:56,4.8699,-2.2405,74.97,87,99,8.3
269,Alyangula,AU,2022-07-13 21:37:56,-13.8483,136.4192,67.78,59,52,16.96
270,Bonthe,SL,2022-07-13 21:28:52,7.5264,-12.505,76.19,89,92,7.94
271,Bereda,ES,2022-07-13 21:38:57,43.2686,-7.5406,74.14,85,99,1.95
272,Aksu,CN,2022-07-13 21:38:58,41.1231,80.2644,72.79,38,65,4.94
273,Dunedin,NZ,2022-07-13 21:38:58,-45.8742,170.5036,48.79,88,100,11.99
274,Lumphat,KH,2022-07-13 21:38:59,13.4878,106.9816,73.29,99,100,3.36
275,Montrose,US,2022-07-13 21:38:59,38.4166,-108.2673,85.41,39,50,0.56
276,Batemans Bay,AU,2022-07-13 21:38:59,-35.7167,150.1833,52.11,67,75,10.94
277,Berdigestyakh,RU,2022-07-13 21:39:00,62.0989,126.6992,62.24,98,100,3.62
278,Monaco-Ville,FR,2022-07-13 21:39:01,43.731,7.4248,82.65,81,0,5.75
279,Da Nang,VN,2022-07-13 21:39:01,16.0678,108.2208,78.78,94,40,1.14
280,Upernavik,GL,2022-07-13 21:37:26,72.7868,-56.1549,41.72,86,18,11.79
281,Ishigaki,JP,2022-07-13 21:39:02,24.3448,124.1572,84.33,89,40,11.5
282,Isla Vista,US,2022-07-13 21:39:02,34.4133,-119.861,94.39,32,1,8.75
283,Boguchany,RU,2022-07-13 21:39:03,58.3814,97.4531,50.2,96,78,2.66
284,Soe,ID,2022-07-13 21:39:03,-9.8607,124.284,60.3,85,69,3.87
285,Wasilla,US,2022-07-13 21:36:13,61.5814,-149.4394,62.65,83,100,4.61
286,Marsa Matruh,EG,2022-07-13 21:37:23,31.3525,27.2453,79.0,65,0,10.36
287,Hobyo,SO,2022-07-13 21:39:04,5.3505,48.5268,78.51,79,65,28.59
288,Gusau,NG,2022-07-13 21:31:31,12.1628,6.6614,79.52,69,79,12.55
289,Bara,NG,2022-07-13 21:39:05,10.3744,10.7288,74.3,91,100,14.85
290,Scarborough,GB,2022-07-13 21:34:14,54.2797,-0.4044,58.33,73,52,5.3
